state_name,First_name,Gender,Job_Title,Id_client,id_client,Category,Price,Card Type
TX,Domingo,Male,Structural Analysis Engineer,1.0,1.0,Outdoors,"16,97",mastercard
MI,Russell,Male,Speech Pathologist,2.0,2.0,Grocery,"143,39",mastercard
AL,Kimble,Male,Account Coordinator,3.0,3.0,Music,"37,64",mastercard
IL,Barnabas,Male,General Manager,4.0,4.0,Jewelry,"8,51",mastercard
MN,Tanney,Female,VP Marketing,5.0,5.0,Outdoors,"61,95",mastercard
MN,Tanney,Female,VP Marketing,5.0,5.0,Grocery,"28,42",mastercard
VA,Launce,Male,Automation Specialist I,6.0,6.0,Outdoors,"15,96",mastercard
CO,Adham,Male,Project Manager,7.0,7.0,Beauty,"149,02",mastercard
TX,Dante,Male,Geological Engineer,8.0,8.0,Games,"97,38",mastercard
PA,Hi,Female,Senior Cost Accountant,9.0,9.0,Outdoors,"139,96",mastercard
CA,Carmine,Female,Statistician II,10.0,10.0,Shoes,"55,45",mastercard
NC,Waring,Female,Software Consultant,11.0,11.0,Jewelry,"96,16",mastercard
CA,Cori,Female,Senior Sales Associate,12.0,12.0,Computers,"104,93",mastercard
TX,Rodge,Genderfluid,Health Coach III,13.0,13.0,Baby,"92,52",mastercard
TX,Nikolos,Male,Geologist III,14.0,14.0,Grocery,"108,42",mastercard
DC,Guy,Female,Senior Cost Accountant,15.0,15.0,Shoes,"144,17",mastercard
TX,Anton,Male,Media Manager II,16.0,16.0,Computers,"5,45",mastercard
VA,Willem,Female,Media Manager II,17.0,17.0,Sports,"5,12",mastercard
VA,Willem,Female,Media Manager II,17.0,17.0,Industrial,"27,87",mastercard
OH,Timothy,Female,Marketing Manager,18.0,18.0,Games,"29,3",mastercard
OH,Timothy,Female,Marketing Manager,18.0,18.0,Automotive,"116,19",mastercard
MD,Sheridan,Male,Assistant Manager,19.0,19.0,Toys,"9,34",mastercard
MD,Sheridan,Male,Assistant Manager,19.0,19.0,Computers,"3,72",mastercard
LA,Kalil,Genderfluid,Senior Editor,20.0,20.0,Music,"94,53",mastercard
LA,Kalil,Genderfluid,Senior Editor,20.0,20.0,Kids,"36,02",mastercard
LA,Augusto,Female,Research Nurse,21.0,21.0,Computers,"16,72",mastercard
